parameter_name,Follicular B Cells (CD21/35+)
gene_accession_id,MGI:2140475
analysis_id,4l3ys32oxx7tdgy
pvalue,0.5363884
parameter_id,IMPC_IMM_067_001
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_symbol,AU040320
