mouse_life_stage,E15.5
gene_symbol,Mecom
parameter_id,IMPC_HEM_008_001
gene_accession_id,MGI:95457
parameter_name,Platelet count
pvalue,0.7987669
mouse_strain,C57BL
analysis_id,fgrxp8vq4f8eg1d
