gene_symbol,Amigo1
mouse_life_stage,Early adult
analysis_id,4w8fhge652m09wi
mouse_strain,C57BL
parameter_id,MGP_PBI_010_001
gene_accession_id,MGI:2653612
parameter_name,CD8+ CD44+ CD62L- alpha beta effector T cell percentage
pvalue,0.2769592
