mouse_strain,B6J
gene_accession_id,MGI:1346344
analysis_id,nz0qn1l9bm2hn1c
mouse_life_stage,Early adult
parameter_name,UIBC (unsaturated iron binding capacity)
gene_symbol,Nr0b2
pvalue,0.793572
parameter_id,IMPC_CBC_024_001
