parameter_id,IMPC_CAL_008_001
analysis_id,am3bvojo64p62mf
parameter_name,Total food intake
gene_symbol,Tnfsf10
gene_accession_id,MGI:107414
mouse_strain,C57BL
mouse_life_stage,Early adult
pvalue,0.2200901
