analysis_id,e7rxjj8awj31814
gene_symbol,Trp53i11
gene_accession_id,MGI:2670995
mouse_life_stage,Early adult
parameter_id,IMPC_CSD_033_001
parameter_name,Gait
mouse_strain,C57BL
pvalue,0.1328259
