gene_symbol,Fpgs
mouse_life_stage,Early adult
parameter_name,Transitional 1 B cells - % of CD45+
analysis_id,6x6bf3eda4508dx
parameter_id,MGP_IMM_110_001
gene_accession_id,MGI:95576
pvalue,0.2342821
mouse_strain,C57BL
