parameter_name,Aggression
gene_accession_id,MGI:1336200
parameter_id,IMPC_CSD_079_001
analysis_id,896gr1ou4198342
gene_symbol,Hpca
mouse_strain,C57BL
pvalue,0.6430756
mouse_life_stage,Early adult
