gene_symbol,Gbp7
mouse_strain,C57BL
analysis_id,d96403x67w0711y
pvalue,0.6195937
mouse_life_stage,Early adult
gene_accession_id,MGI:2444421
parameter_id,ESLIM_011_001_705
parameter_name,Global prepulse inhibition
