gene_symbol,Gfi1b
mouse_strain,C57BL
parameter_id,ESLIM_016_001_002
gene_accession_id,MGI:1276578
parameter_name,Red blood cell count
mouse_life_stage,Early adult
analysis_id,t6ihq9r72jqr786
pvalue,0.6922853
