gene_symbol,Extl1
mouse_strain,C57BL
parameter_name,Eyelid morphology
analysis_id,1a6c1y5727s253r
pvalue,0.2187379
parameter_id,IMPC_EYE_004_001
mouse_life_stage,Early adult
gene_accession_id,MGI:1888742
