analysis_id,8i418j1ss29z24e
gene_accession_id,MGI:1924315
mouse_strain,C57BL
parameter_id,MGP_PBI_033_001
mouse_life_stage,Early adult
pvalue,0.06755359
gene_symbol,Ints7
parameter_name,CD8+ KLRG1+ alpha beta T cell number
