gene_symbol,Ap5s1
gene_accession_id,MGI:1916846
pvalue,0.9436893
parameter_name,Total bilirubin
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_id,IMPC_CBC_008_001
analysis_id,96f630hk6869092
