analysis_id,33tu562u2hv82bz
parameter_name,Snout size
parameter_id,IMPC_CSD_028_001
gene_symbol,Kdm4c
mouse_life_stage,Early adult
gene_accession_id,MGI:1924054
pvalue,0.7904815
mouse_strain,C57BL
