analysis_id,0og3c9f1e8h748g
pvalue,0.5317028
gene_accession_id,MGI:1927232
gene_symbol,Rab13
mouse_life_stage,Early adult
parameter_name,Resting CD8+ T cells - % of CD8+
parameter_id,MGP_MLN_014_001
mouse_strain,C57BL
