analysis_id,e2tr9od69a0wq7y
gene_symbol,Frmpd1
mouse_life_stage,Middle aged adult
mouse_strain,C57BL
pvalue,0.9549827
gene_accession_id,MGI:2446274
parameter_id,MGP_PBI_027_001
parameter_name,NK cell number
