gene_symbol,Dnajc6
mouse_strain,C57BL
pvalue,0.8681857
analysis_id,8065jz7ob57i4l8
mouse_life_stage,Early adult
parameter_name,KLRG1+ NK cells - % of CD45+
gene_accession_id,MGI:1919935
parameter_id,MGP_MLN_093_001
