gene_symbol,Tbl1xr1
gene_accession_id,MGI:2441730
parameter_name,Facial Morphology
pvalue,0.569448
mouse_strain,C57BL
analysis_id,9k3uq83a82hz25b
parameter_id,IMPC_GEP_017_001
mouse_life_stage,Early adult
