analysis_id,khg9af1g2h24rd4
parameter_id,MGP_PBI_014_001
gene_symbol,Stk35
parameter_name,B cell percentage
mouse_life_stage,Early adult
pvalue,0.4540637
mouse_strain,C57BL
gene_accession_id,MGI:1914583
