analysis_id,44ri8hak54707f7
gene_symbol,Bmp7
mouse_strain,C57BL
gene_accession_id,MGI:103302
mouse_life_stage,Early adult
parameter_id,ESLIM_007_001_009
pvalue,0.1291261
parameter_name,Periphery average speed
