parameter_id,MGP_PBI_019_001
gene_accession_id,MGI:1923029
mouse_life_stage,Early adult
pvalue,0.3292923
mouse_strain,C57BL
gene_symbol,Dnaaf9
analysis_id,713345606wsw7il
parameter_name,Neutrophil percentage
