parameter_name,Mean-cell-volume
mouse_life_stage,Late adult
parameter_id,M-G-P_016_001_005
pvalue,0.3671881
gene_accession_id,MGI:2446274
mouse_strain,C57BL
gene_symbol,Frmpd1
analysis_id,8goj9p6sw4vonma
