parameter_name,Eosinophils
pvalue,0.9656133
gene_accession_id,MGI:1923959
mouse_strain,C57BL
gene_symbol,Arpc2
mouse_life_stage,Early adult
analysis_id,1g0qmh09bk578zy
parameter_id,IMPC_IMM_052_001
