parameter_id,JAXLA_GRS_011_001
pvalue,0.2211847
mouse_strain,C57BL
parameter_name,Forelimb and hindlimb grip strength normalised against body weight
analysis_id,rh1v285lluf3b42
gene_symbol,Snap23
gene_accession_id,MGI:109356
mouse_life_stage,Early adult
