parameter_name,Red blood cell count
gene_symbol,Amigo1
parameter_id,IMPC_HEM_002_001
mouse_strain,C57BL
analysis_id,6m6y3dr9e44eb8l
pvalue,0.7386278
gene_accession_id,MGI:2653612
mouse_life_stage,Early adult
