parameter_name,Spleen weight
pvalue,0.6923159
gene_symbol,Dnajc6
mouse_strain,C57BL
gene_accession_id,MGI:1919935
mouse_life_stage,Early adult
parameter_id,UCD_OWT_003_001
analysis_id,3k83se6123m3e56
