analysis_id,6j7357obl050e9p
parameter_id,MGP_CSD_030_001
pvalue,0.7131269
mouse_life_stage,E9.5
mouse_strain,C57BL
gene_symbol,Tiprl
parameter_name,Limb coat/hair presence
gene_accession_id,MGI:1915087
