gene_symbol,Cds2
parameter_id,M-G-P_026_001_004
gene_accession_id,MGI:1332236
parameter_name,Coat colouration
mouse_life_stage,Early adult
mouse_strain,C57BL
analysis_id,187s503pup3197p
pvalue,0.8034697
