analysis_id,x355n1s84wj1w52
parameter_name,Startle response
pvalue,0.5177353
mouse_life_stage,Late adult
mouse_strain,C57BL
gene_accession_id,MGI:2446186
gene_symbol,Lpgat1
parameter_id,MGP_CSD_008_001
