gene_symbol,Wars2
pvalue,0.6364224
mouse_life_stage,E12.5
parameter_name,Periphery average speed
parameter_id,IMPC_OFD_013_001
analysis_id,q5u8221xjb0phd3
mouse_strain,C59BL
gene_accession_id,MGI:1917810
