analysis_id,472og456g7vaf90
pvalue,0.4043701
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_id,IMPC_GEL_060_001
gene_symbol,Opn3
gene_accession_id,MGI:1338022
parameter_name,Neural tube morphology
