analysis_id,hcdyhpl1f3p2z9r
parameter_name,Ly6Clow monocyte number
parameter_id,MGP_PBI_038_001
pvalue,0.6589774
gene_accession_id,MGI:1924315
mouse_life_stage,Early adult
gene_symbol,Ints7
mouse_strain,C57BL
