parameter_name,Periphery average speed
analysis_id,i5811oz5933q347
mouse_strain,C57BL
pvalue,0.2301778
gene_accession_id,MGI:2446274
gene_symbol,Frmpd1
parameter_id,JAX_OFD_013_001
mouse_life_stage,Early adult
