analysis_id,3114a578596e19o
mouse_strain,C57BL
gene_symbol,Sgip1
mouse_life_stage,Early adult
pvalue,0.9898032
parameter_id,JAX_OFD_013_001
parameter_name,Periphery average speed
gene_accession_id,MGI:1920344
