gene_symbol,Ssr2
gene_accession_id,MGI:1913506
analysis_id,kd6mt685or52sd5
parameter_id,M-G-P_006_001_026
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_name,Fusion of vertebrae
pvalue,0.3048431
