analysis_id,0i5g0b2kz9m84hg
parameter_name,% Pre-pulse inhibition - PPI4
gene_accession_id,MGI:1915472
gene_symbol,Tubb4b
mouse_strain,C57BL
pvalue,0.7553373
mouse_life_stage,Early adult
parameter_id,IMPC_ACS_036_001
