analysis_id,g00148920sgnok4
gene_symbol,Tiprl
pvalue,0.6201804
mouse_strain,C57BL
parameter_id,MGP_IMM_110_001
parameter_name,Transitional 1 B cells - % of CD45+
gene_accession_id,MGI:1915087
mouse_life_stage,E12.5
