Analysis_id,5bo5ch620a104z9
parameter_name,Ulna
mouse_life_stage,Early adult
Parameter_id,IMPC_XRY_023_001
Gene_accession_id,MGI:99915
gene_symbol,Lamb3
pvalue,0.4310594
Mouse_strain,C57BL
