gene_symbol,Slx4ip
pvalue,0.5559906
analysis_id,1xux5a241w6324a
mouse_strain,C57BL
gene_accession_id,MGI:1921493
mouse_life_stage,Early adult
parameter_id,MGP_BMI_019_001
parameter_name,T cells - % of CD45+
