Parameter_name,Activity (body position)
Pvalue,0.2547647
Parameter_id,IMPC_CSD_029_001
Analysis_id,gity266p6p36et3
Mouse_strain,C57BL
Gene_symbol,Sgip1
Gene_accession_id,MGI:1920344
Mouse_life_stage,Early adult
