gene_symbol,Bcs1l
mouse_life_stage,E12.5
pvalue,0.5479887
parameter_name,Center permanence time
parameter_id,JAX_OFD_016_001
mouse_strain,C57BL
analysis_id,8qt34k1wj5z8664
gene_accession_id,MGI:1914071
