parameter_name,Eosinophil cell count
parameter_id,IMPC_HEM_036_001
mouse_strain,C57BL
gene_symbol,Rab3gap2
analysis_id,w8bi4ek3inq5wtu
pvalue,0.5616491
gene_accession_id,MGI:1916043
mouse_life_stage,Early adult
