parameter_name,Distance travelled - total
analysis_id,n4qmnf61221955y
mouse_life_stage,Early adult
gene_symbol,Hrnr
parameter_id,HRWLLA_OFD_020_001
gene_accession_id,MGI:3046938
mouse_strain,C57BL
pvalue,0.950969
