analysis_id,q8uaj0gq3s90e8t
parameter_id,IMPC_HEM_019_001
gene_symbol,Snap23
parameter_name,Mean platelet volume
pvalue,0.4814631
mouse_strain,C57BL
gene_accession_id,MGI:109356
mouse_life_stage,Middle aged adult
