parameter_id,JAXLA_GRS_011_001
pvalue,0.8369547
analysis_id,943765u6l16065r
mouse_strain,C57BL
gene_accession_id,MGI:2140475
gene_symbol,AU040320
parameter_name,Forelimb and hindlimb grip strength normalised against body weight
mouse_life_stage,Early adult
