parameter_name,Lens Opacity
analysis_id,8l9r4ycn90j7025
parameter_id,IMPC_EYE_017_001
mouse_strain,129SV
pvalue,0.2640072
gene_accession_id,MGI:2684980
gene_symbol,Mms22l
mouse_life_stage,Early adult
