gene_symbol,Lcn2
gene_accession_id,MGI:96757
pvalue,0.1444857
mouse_life_stage,Early adult
parameter_id,IMPC_ECH_003_001
parameter_name,Stroke Volume
mouse_strain,C57BL
analysis_id,31h391631dr4760
