gene_symbol,Dnaaf9
pvalue,0.9007345
mouse_life_stage,Early adult
parameter_name,Distance travelled - total
mouse_strain,C57BL
gene_accession_id,MGI:1923029
analysis_id,s2581g7hcixuq59
parameter_id,IMPC_OFD_020_001
