parameter_name,Center permanence time
mouse_life_stage,Early adult
parameter_id,IMPC_OFD_016_001
gene_symbol,Tbl1xr1
mouse_strain,C57BL
analysis_id,5ke55c5e2eif530
gene_accession_id,MGI:2441730
pvalue,0.9876705
