mouse_strain,C3H
Analysis_id,2333c799s1yrt27
Gene_symbol,Mecom
parameter_name,BMC/Body weight
Gene_accession_id,MGI:95457
Parameter_id,JAXLA_DXA_007_001
Pvalue,0.5366025
Mouse_life_stage,Early adult
