parameter_id,IMPC_ABR_002_001
pvalue,0.8041185
gene_accession_id,MGI:1346088
mouse_strain,C57BL
gene_symbol,Cd52
mouse_life_stage,Early adult
parameter_name,Click-evoked ABR threshold
analysis_id,xu18t54806o5hfu
