parameter_id,MGP_CSD_030_001
parameter_name,Limb coat/hair presence
mouse_strain,C57BL
gene_symbol,Etfdh
pvalue,0.6727417
analysis_id,jbjb2hm272w35p1
mouse_life_stage,Early adult
gene_accession_id,MGI:106100
