gene_symbol,Psd4
parameter_id,MGP_BMI_006_001
parameter_name,Immature B cells (Hardy fraction E) - % of B220+
gene_accession_id,MGI:2674093
pvalue,0.3192776
mouse_strain,C52BL
mouse_life_stage,Early adult
analysis_id,lmkszp3a07y8853
