parameter_name,Right kidney weight
pvalue,0.3627427
gene_symbol,Etfdh
parameter_id,IMPC_OWT_004_001
analysis_id,74y693r9k30xj20
mouse_life_stage,Early adult
gene_accession_id,MGI:106100
mouse_strain,C57BL
