gene_symbol,Zyg11b
mouse_strain,C57BL
parameter_id,IMPC_IMM_069_001
pvalue,0.9998278
parameter_name,Transitional B Cells (CD21/35 low)
analysis_id,uyj0l266c4584x0
mouse_life_stage,Early adult
gene_accession_id,MGI:2685277
