mouse_strain,C53BL
mouse_life_stage,Early adult
pvalue,0.7005097
analysis_id,d4g0ri979s857dg
parameter_name,IgD+ mature B cell percentage
gene_symbol,Cldn19
gene_accession_id,MGI:3033992
parameter_id,MGP_PBI_015_001
