analysis_id,4z2f7u701hk6qct
gene_symbol,Tnni1
parameter_id,MGP_MLN_074_001
mouse_strain,C57BL
parameter_name,Effector CD8+ T cells - % of CD45+
pvalue,0.7052548
mouse_life_stage,Early adult
gene_accession_id,MGI:105073
