analysis_id,1r88m3wwb8bjp2u
mouse_life_stage,Early adult
pvalue,0.4674032
parameter_id,MGP_PBI_031_001
mouse_strain,C57BL
gene_accession_id,MGI:1914309
gene_symbol,Ola1
parameter_name,KLRG1+ mature NK cell number
