gene_symbol,Ntmt2
parameter_name,HRV
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_accession_id,MGI:2685053
analysis_id,np315tk1g38l1ef
pvalue,0.2377823
parameter_id,IMPC_ECG_010_001
