parameter_name,White blood cell-count
pvalue,0.6737952
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_accession_id,MGI:1922855
gene_symbol,Kdm5b
analysis_id,00667ui58myz3r5
parameter_id,M-G-P_016_001_001
