parameter_name,Aspartate aminotransferase
mouse_life_stage,Early adult
analysis_id,807d96s5sq9eq02
mouse_strain,C57BL
gene_symbol,Kdm5b
pvalue,0.5561117
parameter_id,IMPC_CBC_012_001
gene_accession_id,MGI:1922855
