parameter_name,Magnesium
gene_accession_id,MGI:2446186
analysis_id,04rex7mue0j24h5
mouse_strain,C57BL
pvalue,0.6286314
gene_symbol,Lpgat1
mouse_life_stage,E18.5
parameter_id,M-G-P_025_001_030
