analysis_id,1r096sx40g4yc2u
parameter_id,MGP_CSD_030_001
parameter_name,Limb coat/hair presence
gene_symbol,Cdin1
mouse_life_stage,E9.5
gene_accession_id,MGI:3026886
mouse_strain,C57BL
pvalue,0.7476205
