gene_symbol,Arpc5l
mouse_life_stage,Early adult
analysis_id,68092ra10i87g76
parameter_name,Gait
pvalue,1.781176e-12
gene_accession_id,MGI:1921442
parameter_id,IMPC_CSD_033_001
mouse_strain,C57BL
